model_name,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,recall_micro,recall_macro,prediction_time,training_time
Logistic-Regression,0.5595667870036101,0.525529416253153,0.5461061888087728,0.702416918429003,0.6551317684351414,0.465,0.4476339829672935,0.009292364120483398,15.4261953830719
SGD-Classifier,0.5385018334206391,0.504570097821477,0.5237166284150786,0.5654565456545655,0.5478748263905915,0.514,0.4971065934544806,0.004024505615234375,0.9900021553039551
Random-Forest,0.11278195488721804,0.09351901952392598,0.10436421751446971,0.9375,0.4758333333333333,0.06,0.05353843257960171,0.30520153045654297,25.440876722335815
Decision-Tree,0.23182511438739198,0.223069283659202,0.23261990546349395,0.23578076525336092,0.23053186685803095,0.228,0.2201068186733925,0.11127376556396484,17.566317319869995
DNN (Our Model),0.4252252252252252,0.444833210119278,0.46120776534846264,0.2863084922010399,0.3191365449192043,0.826,0.8268532442533841,0.0,0.0
